,source,target,flow
0,0,6,194097
1,0,7,4238
2,0,8,1941
3,0,9,32089
4,0,10,26831
5,0,11,32228
6,1,6,50370
7,1,7,59736
8,1,8,3837
9,1,9,43377
10,1,10,7241
11,1,11,1409
12,2,6,863
13,2,7,3087
14,2,8,194
15,2,9,2113
16,2,10,118
17,2,11,4
18,3,6,107667
19,3,7,149154
20,3,8,104507
21,3,9,2672324
22,3,10,337066
23,3,11,15164
24,4,6,16030
25,4,7,11032
26,4,8,15233
27,4,9,234592
28,4,10,1532003
29,4,11,2484
30,5,6,4433
31,5,8,91
32,5,9,15173
33,5,10,567
34,5,11,1261187
